Emoji,Symbol Combination
⡣,[]:
⡤,]:;
⡥,":;"""
⡦,";""'"
⡧,"""'<"
⡨,'<>
⡩,"<>,"
⡪,">,."
⡫,",.?"
⡬,.?/
⡭,?/|
⡮,/|\
⡯,|\~
⡰,\~!
⡱,~!@
⡲,!@#
⡳,@#$
⡴,#$%
⡵,$%^
⡶,%^&
⡷,^&*
⡸,&*(
⡹,*()
⡺,()_
⡻,)_-
⡼,_-+
⡽,-+=
⡾,+={
⡿,={}
⢀,{}[
⢁,}[]
⢂,[]:
⢃,]:;
⢄,":;"""
⢅,";""'"
⢆,"""'<"
⢇,'<>
⢈,"<>,"
⢉,">,."
⢊,",.?"
⢋,.?/
⢌,?/|
⢍,/|\
⢎,|\~
⢏,\~!
⢐,~!@
⢑,!@#
⢒,@#$
⢓,#$%
⢔,$%^
⢕,%^&
⢖,^&*
⢗,&*(
⢘,*()
⢙,()_
⢚,)_-
⢛,_-+
⢜,-+=
⢝,+={
⢞,={}
⢟,{}[
⢠,}[]
⢡,[]:
⢢,]:;
⢣,":;"""
⢤,";""'"
⢥,"""'<"
⢦,'<>
⢧,"<>,"
⢨,">,."
⢩,",.?"
⢪,.?/
⢫,?/|
⢬,/|\
⢭,|\~
⢮,\~!
⢯,~!@
⢰,!@#
⢱,@#$
⢲,#$%
⢳,$%^
⢴,%^&
⢵,^&*
⢶,&*(
⢷,*()
⢸,()_
⢹,)_-
⢺,_-+
⢻,-+=
⢼,+={
⢽,={}
⢾,{}[
⢿,}[]
⣀,[]:
⣁,]:;
⣂,":;"""
⣃,";""'"
⣄,"""'<"
⣅,'<>
⣆,"<>,"
⣇,">,."
⣈,",.?"
⣉,.?/
⣊,?/|
⣋,/|\
⣌,|\~
⣍,\~!
⣎,~!@
⣏,!@#
⣐,@#$
⣑,#$%
⣒,$%^
⣓,%^&
⣔,^&*
⣕,&*(
⣖,*()
⣗,()_
⣘,)_-
⣙,_-+
⣚,-+=
⣛,+={
⣜,={}
⣝,{}[
⣞,}[]
⣟,[]:
⣠,]:;
⣡,":;"""
⣢,";""'"
⣣,"""'<"
⣤,'<>
⣥,"<>,"
⣦,">,."
⣧,",.?"
⣨,.?/
⣩,?/|
⣪,/|\
⣫,|\~
⣬,\~!
⣭,~!@
⣮,!@#
⣯,@#$
⣰,#$%
⣱,$%^
⣲,%^&
⣳,^&*
⣴,&*(
⣵,*()
⣶,()_
⣷,)_-
⣸,_-+
⣹,-+=
⣺,+={
⣻,={}
⣼,{}[
⣽,}[]
⣾,[]:
⣿,]:;
⤀,":;"""
⤁,";""'"
⤂,"""'<"
⤃,'<>
⤄,"<>,"
⤅,">,."
⤆,",.?"
⤇,.?/
⤈,?/|
⤉,/|\
⤊,|\~
⤋,\~!
⤌,~!@
⤍,!@#
⤎,@#$
⤏,#$%
⤐,$%^
⤑,%^&
⤒,^&*
⤓,&*(
⤔,*()
⤕,()_
⤖,)_-
⤗,_-+
⤘,-+=
⤙,+={
⤚,={}
⤛,{}[
⤜,}[]
⤝,[]:
⤞,]:;
⤟,":;"""
⤠,";""'"
⤡,"""'<"
⤢,'<>
⤣,"<>,"
⤤,">,."
⤥,",.?"
⤦,.?/
⤧,?/|
⤨,/|\
⤩,|\~
⤪,\~!
⤫,~!@
⤬,!@#
⤭,@#$
⤮,#$%
⤯,$%^
⤰,%^&
⤱,^&*
⤲,&*(
⤳,*()
⤴,()_
⤵,)_-
⤶,_-+
⤷,-+=
⤸,+={
⤹,={}
⤺,{}[
⤻,}[]
⤼,[]:
⤽,]:;
⤾,":;"""
⤿,";""'"
⥀,"""'<"
⥁,'<>
⥂,"<>,"
⥃,">,."
⥄,",.?"
⥅,.?/
⥆,?/|
⥇,/|\
⥈,|\~
⥉,\~!
⥊,~!@
⥋,!@#
⥌,@#$
⥍,#$%
⥎,$%^
⥏,%^&
⥐,^&*
⥑,&*(
⥒,*()
⥓,()_
⥔,)_-
⥕,_-+
⥖,-+=
⥗,+={
⥘,={}
⥙,{}[
⥚,}[]
⥛,[]:
⥜,]:;
⥝,":;"""
⥞,";""'"
⥟,"""'<"
⥠,'<>
⥡,"<>,"
⥢,">,."
⥣,",.?"
⥤,.?/
⥥,?/|
⥦,/|\
⥧,|\~
⥨,\~!
⥩,~!@
⥪,!@#
⥫,@#$
⥬,#$%
⥭,$%^
⥮,%^&
⥯,^&*
⥰,&*(
⥱,*()
⥲,()_
⥳,)_-
⥴,_-+
⥵,-+=
⥶,+={
⥷,={}
⥸,{}[
⥹,}[]
⥺,[]:
⥻,]:;
⥼,":;"""
⥽,";""'"
⥾,"""'<"
⥿,'<>
⦀,"<>,"
⦁,">,."
⦂,",.?"
⦃,.?/
⦄,?/|
⦅,/|\
⦆,|\~
⦇,\~!
⦈,~!@
⦉,!@#
⦊,@#$
⦋,#$%
⦌,$%^
⦍,%^&
⦎,^&*
⦏,&*(
⦐,*()
⦑,()_
⦒,)_-
⦓,_-+
⦔,-+=
⦕,+={
⦖,={}
⦗,{}[
⦘,}[]
⦙,[]:
⦚,]:;
⦛,":;"""
⦜,";""'"
⦝,"""'<"
⦞,'<>
⦟,"<>,"
⦠,">,."
⦡,",.?"
⦢,.?/
⦣,?/|
⦤,/|\
⦥,|\~
⦦,\~!
⦧,~!@
⦨,!@#
⦩,@#$
⦪,#$%
⦫,$%^
⦬,%^&
⦭,^&*
⦮,&*(
⦯,*()
⦰,()_
⦱,)_-
⦲,_-+
⦳,-+=
⦴,+={
⦵,={}
⦶,{}[
⦷,}[]
⦸,[]:
⦹,]:;
⦺,":;"""
⦻,";""'"
⦼,"""'<"
⦽,'<>
⦾,"<>,"
⦿,">,."
⧀,",.?"
⧁,.?/
⧂,?/|
⧃,/|\
⧄,|\~
⧅,\~!
⧆,~!@
⧇,!@#
⧈,@#$
⧉,#$%
⧊,$%^
⧋,%^&
⧌,^&*
⧍,&*(
⧎,*()
⧏,()_
⧐,)_-
⧑,_-+
⧒,-+=
⧓,+={
⧔,={}
⧕,{}[
⧖,}[]
⧗,[]:
⧘,]:;
⧙,":;"""
⧚,";""'"
⧛,"""'<"
⧜,'<>
⧝,"<>,"
⧞,">,."
⧟,",.?"
⧠,.?/
⧡,?/|
⧢,/|\
⧣,|\~
⧤,\~!
⧥,~!@
⧦,!@#
⧧,@#$
⧨,#$%
⧩,$%^
⧪,%^&
⧫,^&*
⧬,&*(
⧭,*()
⧮,()_
⧯,)_-
⧰,_-+
⧱,-+=
⧲,+={
⧳,={}
⧴,{}[
⧵,}[]
⧶,[]:
⧷,]:;
⧸,":;"""
⧹,";""'"
⧺,"""'<"
⧻,'<>
⧼,"<>,"
⧽,">,."
⧾,",.?"
⧿,.?/
⨀,?/|
⨁,/|\
⨂,|\~
⨃,\~!
⨄,~!@
⨅,!@#
⨆,@#$
⨇,#$%
⨈,$%^
⨉,%^&
⨊,^&*
⨋,&*(
⨌,*()
⨍,()_
⨎,)_-
⨏,_-+
⨐,-+=
⨑,+={
⨒,={}
⨓,{}[
⨔,}[]
⨕,[]:
⨖,]:;
⨗,":;"""
⨘,";""'"
⨙,"""'<"
⨚,'<>
⨛,"<>,"
⨜,">,."
⨝,",.?"
⨞,.?/
⨟,?/|
⨠,/|\
⨡,|\~
⨢,\~!
⨣,~!@
⨤,!@#
⨥,@#$
⨦,#$%
⨧,$%^
⨨,%^&
⨩,^&*
⨪,&*(
⨫,*()
⨬,()_
⨭,)_-
⨮,_-+
⨯,-+=
⨰,+={
⨱,={}
⨲,{}[
⨳,}[]
⨴,[]:
⨵,]:;
⨶,":;"""
⨷,";""'"
⨸,"""'<"
⨹,'<>
⨺,"<>,"
⨻,">,."
⨼,",.?"
⨽,.?/
⨾,?/|
⨿,/|\
⩀,|\~
⩁,\~!
⩂,~!@
⩃,!@#
⩄,@#$
⩅,#$%
⩆,$%^
⩇,%^&
⩈,^&*
⩉,&*(
⩊,*()
⩋,()_
⩌,)_-
⩍,_-+
⩎,-+=
⩏,+={
⩐,={}
⩑,{}[
⩒,}[]
⩓,[]:
⩔,]:;
⩕,":;"""
⩖,";""'"
⩗,"""'<"
⩘,'<>
⩙,"<>,"
⩚,">,."
⩛,",.?"
⩜,.?/
⩝,?/|
⩞,/|\
⩟,|\~
⩠,\~!
⩡,~!@
⩢,!@#
⩣,@#$
⩤,#$%
⩥,$%^
⩦,%^&
⩧,^&*
⩨,&*(
⩩,*()
⩪,()_
⩫,)_-
⩬,_-+
⩭,-+=
⩮,+={
⩯,={}
⩰,{}[
⩱,}[]
⩲,[]:
⩳,]:;
⩴,":;"""
⩵,";""'"
⩶,"""'<"
⩷,'<>
⩸,"<>,"
⩹,">,."
⩺,",.?"
⩻,.?/
⩼,?/|
⩽,/|\
⩾,|\~
⩿,\~!
⪀,~!@
⪁,!@#
⪂,@#$
⪃,#$%
⪄,$%^
⪅,%^&
⪆,^&*
⪇,&*(
⪈,*()
⪉,()_
⪊,)_-
⪋,_-+
⪌,-+=
⪍,+={
⪎,={}
⪏,{}[
⪐,}[]
⪑,[]:
⪒,]:;
⪓,":;"""
⪔,";""'"
⪕,"""'<"
⪖,'<>
⪗,"<>,"
⪘,">,."
⪙,",.?"
⪚,.?/
⪛,?/|
⪜,/|\
⪝,|\~
⪞,\~!
⪟,~!@
⪠,!@#
⪡,@#$
⪢,#$%
⪣,$%^
⪤,%^&
⪥,^&*
⪦,&*(
⪧,*()
⪨,()_
⪩,)_-
⪪,_-+
⪫,-+=
⪬,+={
⪭,={}
⪮,{}[
⪯,}[]
⪰,[]:
⪱,]:;
⪲,":;"""
⪳,";""'"
⪴,"""'<"
⪵,'<>
⪶,"<>,"
⪷,">,."
⪸,",.?"
⪹,.?/
⪺,?/|
⪻,/|\
⪼,|\~
⪽,\~!
⪾,~!@
⪿,!@#
⫀,@#$
⫁,#$%
⫂,$%^
⫃,%^&
⫄,^&*
⫅,&*(
⫆,*()
⫇,()_
⫈,)_-
⫉,_-+
⫊,-+=
⫋,+={
⫌,={}
⫍,{}[
⫎,}[]
⫏,[]:
⫐,]:;
⫑,":;"""
⫒,";""'"
⫓,"""'<"
⫔,'<>
⫕,"<>,"
⫖,">,."
⫗,",.?"
⫘,.?/
⫙,?/|
⫚,/|\
⫛,|\~
⫝̸,\~!
⫝,~!@
⫞,!@#
⫟,@#$
⫠,#$%
⫡,$%^
⫢,%^&
⫣,^&*
⫤,&*(
⫥,*()
⫦,()_
⫧,)_-
⫨,_-+
⫩,-+=
⫪,+={
⫫,={}
⫬,{}[
⫭,}[]
⫮,[]:
⫯,]:;
⫰,":;"""
⫱,";""'"
⫲,"""'<"
⫳,'<>
⫴,"<>,"
⫵,">,."
⫶,",.?"
⫷,.?/
⫸,?/|
⫹,/|\
⫺,|\~
⫻,\~!
⫼,~!@
⫽,!@#
⫾,@#$
⫿,#$%
⬀,$%^
⬁,%^&
⬂,^&*
⬃,&*(
⬄,*()
⬅,()_
⬆,)_-
⬇,_-+
⬈,-+=
⬉,+={
⬊,={}
⬋,{}[
⬌,}[]
⬍,[]:
⬎,]:;
⬏,":;"""
⬐,";""'"
⬑,"""'<"
⬒,'<>
⬓,"<>,"
⬔,">,."
⬕,",.?"
⬖,.?/
⬗,?/|
⬘,/|\
⬙,|\~
⬚,\~!
⬛,~!@
⬜,!@#
⬝,@#$
⬞,#$%
⬟,$%^
⬠,%^&
⬡,^&*
⬢,&*(
⬣,*()
⬤,()_
⬥,)_-
⬦,_-+
⬧,-+=
⬨,+={
⬩,={}
⬪,{}[
⬫,}[]
⬬,[]:
⬭,]:;
⬮,":;"""
⬯,";""'"
⬰,"""'<"
⬱,'<>
⬲,"<>,"
⬳,">,."
⬴,",.?"
⬵,.?/
⬶,?/|
⬷,/|\
⬸,|\~
⬹,\~!
⬺,~!@
⬻,!@#
⬼,@#$
⬽,#$%
⬾,$%^
⬿,%^&
⭀,^&*
⭁,&*(
⭂,*()
⭃,()_
⭄,)_-
⭅,_-+
⭆,-+=
⭇,+={
⭈,={}
⭉,{}[
⭊,}[]
⭋,[]:
⭌,]:;
⭍,":;"""
⭎,";""'"
⭏,"""'<"
⭐,'<>
⭑,"<>,"
⭒,">,."
⭓,",.?"
⭔,.?/
⭕,?/|
⭖,/|\
⭗,|\~
⭘,\~!
⭙,~!@
⭚,!@#
⭛,@#$
⭜,#$%
⭝,$%^
⭞,%^&
⭟,^&*
⭠,&*(
⭡,*()
⭢,()_
⭣,)_-
⭤,_-+
⭥,-+=
⭦,+={
⭧,={}
⭨,{}[
⭩,}[]
⭪,[]:
⭫,]:;
⭬,":;"""
⭭,";""'"
⭮,"""'<"
⭯,'<>
⭰,"<>,"
⭱,">,."
⭲,",.?"
⭳,.?/
⭴,?/|
⭵,/|\
⭶,|\~
⭷,\~!
⭸,~!@
⭹,!@#
⭺,@#$
⭻,#$%
⭼,$%^
⭽,%^&
⭾,^&*
⭿,&*(
⮀,*()
⮁,()_
⮂,)_-
⮃,_-+
⮄,-+=
⮅,+={
⮆,={}
⮇,{}[
⮈,}[]
⮉,[]:
⮊,]:;
⮋,":;"""
⮌,";""'"
⮍,"""'<"
⮎,'<>
⮏,"<>,"
⮐,">,."
⮑,",.?"
⮒,.?/
⮓,?/|
⮔,/|\
⮕,|\~
